date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:15	100952/100952	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2006:25:14%20GMT	https://eres.dexignzone.com/laravel/demo/index?theme=4	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/index8704.html	(from )
13:25:16	237/237	---M--	302	error ('Found')	text/html	date:Wed,%2013%20Sep%202023%2006:25:15%20GMT	https://eres.dexignzone.com/robots.txt		(from )
13:25:17	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Sep%202023%2006:25:16%20GMT	https://eres.dexignzone.com/laravel/demo/images/favicon.png	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/images/favicon.png	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:17	149439/149439	---M--	200	added ('OK')	image/png	etag:%22247bf-60331d826791c%22	https://eres.dexignzone.com/laravel/social-image.png	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/social-image.png	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:17	3462/3462	---M--	200	added ('OK')	image/png	etag:%22d86-5b2cda4e40500%22	https://eres.dexignzone.com/laravel/demo/public/images/favicon.png	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/public/images/favicon.png	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:18	292/292	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Sep%202023%2006:25:17%20GMT	https://eres.dexignzone.com/laravel/demo/vendor/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/vendor/owl-carousel/owl.carousel.css	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:18	3356/3356	---M--	200	added ('OK')	text/css	etag:%22d1c-5fe1106f26000%22	https://eres.dexignzone.com/laravel/demo/public/vendor/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/public/vendor/owl-carousel/owl.carousel.css	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:19	22357/22357	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d52aa-5755%22	https://cdn.lineicons.com/2.0/LineIcons.css	C:/My%20Web%20Sites/Teman%20Sehat/eres/cdn.lineicons.com/2.0/LineIcons.css	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:19	313/313	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Sep%202023%2006:25:18%20GMT	https://eres.dexignzone.com/laravel/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
13:25:19	10722/10722	---M--	200	added ('OK')	text/css	etag:%2229e2-58dd9fd247d80%22	https://eres.dexignzone.com/laravel/demo/public/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Teman%20Sehat/eres/eres.dexignzone.com/laravel/demo/public/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://eres.dexignzone.com/laravel/demo/index?theme=4)
